Post Url,Likes,Comments,Views,Post Date,selfkoc,video_id
https://www.youtube.com//shorts/5Rnj_Y0zx-Y,5,,454,2025-03-04,@AmaliaVasile-u1o,5Rnj_Y0zx-Y
https://www.youtube.com//shorts/IS1kdm1rf3M,6,,524,2025-02-28,@AmaliaVasile-u1o,IS1kdm1rf3M
https://www.youtube.com//shorts/ECDPjlsiDoQ,4,,506,2025-02-28,@AmaliaVasile-u1o,ECDPjlsiDoQ
https://www.youtube.com//shorts/qyzYA68zRWI,5,,514,2025-02-28,@AmaliaVasile-u1o,qyzYA68zRWI
https://www.youtube.com//shorts/9wuttI0oi_E,8,,713,2025-02-28,@AmaliaVasile-u1o,9wuttI0oi_E
https://www.youtube.com//shorts/YbWDryCmJlU,7,,45,2025-02-28,@ChandlerMHMLimited-w7v,YbWDryCmJlU
https://www.youtube.com//shorts/58zEJVQWJW8,6,,519,2025-02-28,@ChandlerMHMLimited-w7v,58zEJVQWJW8
https://www.youtube.com//shorts/XfUBfSDLCC8,6,,430,2025-02-27,@ChandlerMHMLimited-w7v,XfUBfSDLCC8
https://www.youtube.com//shorts/UiGQO2-LhJ0,2,,421,2025-02-27,@ChandlerMHMLimited-w7v,UiGQO2-LhJ0
https://www.youtube.com//shorts/MSxeKhfDhJ4,12,,459,2025-02-27,@ChandlerMHMLimited-w7v,MSxeKhfDhJ4
https://www.youtube.com//shorts/QNhgyrOhinU,4,,464,2025-02-27,@ChandlerMHMLimited-w7v,QNhgyrOhinU
https://www.youtube.com//shorts/mAdm73GKkkw,2,,509,2025-02-27,@ChandlerMHMLimited-w7v,mAdm73GKkkw
https://www.youtube.com//shorts/MgiYzka9dyI,4,,502,2025-02-27,@ChandlerMHMLimited-w7v,MgiYzka9dyI
https://www.youtube.com//shorts/3X3pbm7BHv4,8,,631,2025-02-26,@ChandlerMHMLimited-w7v,3X3pbm7BHv4
https://www.youtube.com//shorts/bEEHH1P9ke0,5,,503,2025-02-26,@ChandlerMHMLimited-w7v,bEEHH1P9ke0
https://www.youtube.com//shorts/XLB11jZntgg,7,,23,2025-02-26,@kentcunningham-x1l,XLB11jZntgg
https://www.youtube.com//shorts/LTIKFLlHYsM,8,,460,2025-02-26,@kentcunningham-x1l,LTIKFLlHYsM
https://www.youtube.com//shorts/SSE-PdZsllQ,3,,446,2025-02-26,@kentcunningham-x1l,SSE-PdZsllQ
https://www.youtube.com//shorts/lnxPvpKLKtY,1,,24,2025-02-26,@kentcunningham-x1l,lnxPvpKLKtY
https://www.youtube.com//shorts/U7RzyztTva8,3,,358,2025-02-26,@kentcunningham-x1l,U7RzyztTva8
https://www.youtube.com//shorts/huNSksQYsIQ,1,,412,2025-02-25,@kentcunningham-x1l,huNSksQYsIQ
https://www.youtube.com//shorts/gK3f_tuJ72w,2,,525,2025-02-25,@kentcunningham-x1l,gK3f_tuJ72w
https://www.youtube.com//shorts/WhYmz1t_exM,7,,504,2025-02-25,@kentcunningham-x1l,WhYmz1t_exM
https://www.youtube.com//shorts/6MPoObTT08k,5,,416,2025-02-25,@kentcunningham-x1l,6MPoObTT08k
https://www.youtube.com//shorts/B2XrHMgZwcc,2,,541,2025-02-25,@kentcunningham-x1l,B2XrHMgZwcc
https://www.youtube.com//shorts/JIeKWP7Cl7A,1,,34,2025-02-26,@ChristopherPerez-f3r,JIeKWP7Cl7A
https://www.youtube.com//shorts/0sVs_2H8pgM,12,,784,2025-02-25,@ChristopherPerez-f3r,0sVs_2H8pgM
https://www.youtube.com//shorts/Gbtpk87bF_U,10,,535,2025-02-25,@ChristopherPerez-f3r,Gbtpk87bF_U
https://www.youtube.com//shorts/ZO2ugpaA0Bs,10,,573,2025-02-25,@ChristopherPerez-f3r,ZO2ugpaA0Bs
https://www.youtube.com//shorts/DqKqxay7ZVs,6,,501,2025-02-25,@ChristopherPerez-f3r,DqKqxay7ZVs
