kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7490978065267440000 ,This Bluetooth Speaker is a Beast! JBL PartyBox On-The-Go Essential Unboxing #bluetoothspeaker #audio #portablespeaker #asmr #unboxing #jbl #partybox ,5801946,63400,2322,https://www.tiktok.com/@9T4 DUSTIN/video/7490978065267445022,,,
7487044127557730000 ,she got the ZOOMIES 😎@AnkerOfficial #Anker #AnkerMaggo #PoweredbyAnker #AnkerPowerBank #caughtoncamera ,5748161,140081,531,https://www.tiktok.com/@samantha eve/video/7487044127557733662,,,
7481228834595940000 ,"🧸 Shin-chanon the go! Now my backpack is as fun as he is! 😆 🎁 Join the 'Unbox your Fluffy Lucky Charm' Challenge! 🎁 💡 Unbox your blind box and see if luck is on your side! 🐝 Find the SECRET ONE and 🏆 Win an exclusive Lucky Blind Box Gift Box! 🏆 📅 March 15, 2025 📍 MINISO Times Square Store – 5 Times Square, New York, NY 10036 🎉 The Blind Boxes are also available at these New York Miniso stores: 📍MI",5729683,39749,259,https://www.tiktok.com/@Miniso Official/video/7481228834595949866,,,
7463244045071200000 ,The Solution 🏂 @Burton Snowboards  @Jones Snowboardsofficial   @Steamboat Resort  #snowboarding #snowboardinglife #skiiing #skiinglife #skiseason #snowstorm #powder #co #colorado #gopro #backcountryskiing #backcountrysnowboarding #splitboarding #jonessolution #burtonstepons #stepon #stepons #steponsplit,5668561,549100,1754,https://www.tiktok.com/@mitchsends/video/7463244045071207726,,,
7463928346506710000 ,"⚡ DIY Spot Welder with a Simple Battery! ⚡ Want to make a cheap and functional spot welder? I'll show you how to build it using a simple battery and a few materials! Perfect for your DIY welding projects and quick repairs. Simple, practical and brilliant! #SpotWelder #DIY #DIY #Electronics #DIYProjects #LifeHacks #BrilliantTricks #CreativeIdeas #Technology",5587185,117322,1232,https://www.tiktok.com/@Roman/video/7463928346506710294,,,
7452389643703650000 ,Unbox the Massive JBL PartyBox 1000 | Bluetooth Portable Speaker | 🔊🇺🇸🔊 . . . #jbl #partybox1000 #bass #loudspeaker #bluetooth #portablespeaker #audio  #soundsystem #unboxing #trending #viralvideo #fyp ,5408440,155041,869,https://www.tiktok.com/@POLIN/video/7452389643703651630,,,
7483827863918050000 ,Cozy Up with those plushes🧸✨ #MINISO #BPTG #BLACKPINKTHEGAME #FORYOU #GIFT,5368131,29260,350,https://www.tiktok.com/@Miniso Official/video/7483827863918054702,,,
7496167307140460000 ,@eufy US Is your home smart enough? 🧠💡 My smart vacuum just cleaned up my dog’s mess in seconds—let’s see if I can win that new eufy product! #IsYourHomeSmartEnough #eufysmarthome #smarthome  #robotcleaner #mopvaccum #robot #robotcleaner #robotvacuumcleaner #clean #room #usa_tiktok #tiktokviral #cleaningtiktok #homecleaning #pets #cats   #roboticvacuum #robovacuum #robotvacuum ,5349288,238214,882,https://www.tiktok.com/@jackterry51/video/7496167307140467998,,,
7450008079141270000 ,#hellokitty #hellokittyplush #sanrio #mymelody #kerropi #cinnamonroll #miniso #hellokittyfinds ,5141891,1029272,4233,https://www.tiktok.com/@sunshine.rgz/video/7450008079141276958,,,
7485753525838890000 ,Jbl PartyBox Ultimate Combine Lights Clear Sound #jblpartyboxultimate #bass #fyp #viral #jblspeaker #audiosystem #jblpartybox710 #encore ,5093087,226690,945,https://www.tiktok.com/@JBL Golden🔊/video/7485753525838892310,,,
7461271087142240000 ,JBL Clip 5 River Challenge 😬,4825644,78508,568,https://www.tiktok.com/@Bass Super Test/video/7461271087142243606,,,
7447559894175190000 ,"#ad Replying to @Jori Hope if you want to learn exactly how I film & edit my content (from vlogs to ASMR to talking-to-camera videos & beyond).. & glow up YOUR content in just 14 days (no matter your environment, with just your smart phone)👇 👉head to my 🔗 in bio to grab your spot in my 14 Day iPhone Content Glow-Up Challenge! (Hurry— we start soon & I cant freakin waittt!!🤗🎉)  🤳 PS— if you’re here",4749862,125338,1898,https://www.tiktok.com/@Gina Galeoto/video/7447559894175190315,,,
7486056155916070000 ,Maybe I didn’t tip enough…😬 #fy #fyp #securitycamera #eufysecurity #homesecurity #waitforit #springtok #caughtoncam #eufy #anewwavetoenter #familock #videodoorbell #delivery ,4584513,182799,4717,https://www.tiktok.com/@eufyCam/video/7486056155916078367,,,
7474948766890470000 ,Kayaknya enak banget ya kalau cuci muka pake Brightening Mousse. Katanya serasa dipijit-pijit alat mahal 🤭🤭 Dipijit alat mahal ✅ Mudarin dark spot ✅ Bersihin wajah ✅ Cerahin wajah ✅  #Facemassage #pembersihmakeup #sabuncucimuka #skincareroutine #cleansingbalm #mukalembap #deepcleansing #cleansingoil #cleansingfoam #foamcleanser #poriporibesar #glowing #kulitkering #plumpy #glassskin#pelembap #menc,4511863,101747,873,https://www.tiktok.com/@G-Belle Indonesia/video/7474948766890478866,,,
