selfkoc_post_url,Likes,Comments,Shares,Post Date,selfkoc_account,video_id
https://www.tiktok.com/@twi662/video/7492439746182909226,7,0,0,4/13/2025,@twi662,7492439746182909226
https://www.tiktok.com/@lucky.ley6/video/7492052586049178910,12,0,4,4/12/2025,@lucky.ley6,7492052586049178910
https://www.tiktok.com/@sagehall0/video/7491713268420103470,3,0,0,4/11/2025,@sagehall0,7491713268420103470
https://www.tiktok.com/@marleycampbell5/video/7491711979003039022,8,0,2,4/11/2025,@marleycampbell5,7491711979003039022
https://www.tiktok.com/@nellietucker0/video/7491713223649955114,6,0,0,4/11/2025,@nellietucker0,7491713223649955114
https://www.tiktok.com/@raynesosa/video/7491711711527865642,39,0,4,4/11/2025,@raynesosa,7491711711527865642
https://www.tiktok.com/@leesan007/video/7491711741492038942,65,1,6,4/11/2025,@leesan007,7491711741492038942
https://www.tiktok.com/@hunterezkj8/video/7491702859491249438,90,1,22,4/11/2025,@hunterezkj8,7491702859491249438
https://www.tiktok.com/@lf6ai8wvknt/video/7491702896342486314,11,1,1,4/11/2025,@lf6ai8wvknt,7491702896342486314
https://www.tiktok.com/@schechter.denney/video/7491702824745798958,20,0,0,4/11/2025,@schechter.denney,7491702824745798958
https://www.tiktok.com/@maesftuijv6/video/7491702934670036255,16,2,3,4/11/2025,@maesftuijv6,7491702934670036255
https://www.tiktok.com/@lucky.ley6/video/7491687782943903007,26,0,3,4/11/2025,@lucky.ley6,7491687782943903007
https://www.tiktok.com/@twi662/video/7491702878978215214,7,0,0,4/11/2025,@twi662,7491702878978215214
https://www.tiktok.com/@sagehall0/video/7491311484811922734,0,0,0,4/10/2025,@sagehall0,7491311484811922734
https://www.tiktok.com/@marleycampbell5/video/7491312223009279278,32,1,3,4/10/2025,@marleycampbell5,7491312223009279278
https://www.tiktok.com/@nellietucker0/video/7491311877864049962,8,1,0,4/10/2025,@nellietucker0,7491311877864049962
https://www.tiktok.com/@raynesosa/video/7491312243137858862,21,0,3,4/10/2025,@raynesosa,7491312243137858862
https://www.tiktok.com/@leesan007/video/7491312329708145950,53,0,7,4/10/2025,@leesan007,7491312329708145950
https://www.tiktok.com/@hunterezkj8/video/7491328845040160030,19,1,3,4/10/2025,@hunterezkj8,7491328845040160030
https://www.tiktok.com/@lf6ai8wvknt/video/7491328752748612907,21,0,1,4/10/2025,@lf6ai8wvknt,7491328752748612907
https://www.tiktok.com/@schechter.denney/video/7491328638479174958,13,0,3,4/10/2025,@schechter.denney,7491328638479174958
https://www.tiktok.com/@maesftuijv6/video/7491329169960226078,0,0,0,4/10/2025,@maesftuijv6,7491329169960226078
https://www.tiktok.com/@lucky.ley6/video/7491372352677088543,6,5,2,4/10/2025,@lucky.ley6,7491372352677088543
https://www.tiktok.com/@twi662/video/7491328963898248491,24,2,3,4/10/2025,@twi662,7491328963898248491
https://www.tiktok.com/@sagehall0/video/7490968809524694315,20,0,0,4/9/2025,@sagehall0,7490968809524694315
https://www.tiktok.com/@marleycampbell5/video/7490968874930687278,5,0,0,4/9/2025,@marleycampbell5,7490968874930687278
https://www.tiktok.com/@nellietucker0/video/7490968860187741482,4,0,1,4/9/2025,@nellietucker0,7490968860187741482
https://www.tiktok.com/@raynesosa/video/7490967370672983342,36,0,0,4/9/2025,@raynesosa,7490967370672983342
https://www.tiktok.com/@raynesosa/video/7490767272450149678,85,0,1,4/9/2025,@raynesosa,7490767272450149678
https://www.tiktok.com/@leesan007/video/7490968958087007518,17,0,3,4/9/2025,@leesan007,7490968958087007518
https://www.tiktok.com/@hunterezkj8/video/7490959864630447391,25,1,2,4/9/2025,@hunterezkj8,7490959864630447391
https://www.tiktok.com/@lf6ai8wvknt/video/7490959854585056558,23,5,6,4/9/2025,@lf6ai8wvknt,7490959854585056558
https://www.tiktok.com/@schechter.denney/video/7490959857323953454,6,0,1,4/9/2025,@schechter.denney,7490959857323953454
https://www.tiktok.com/@maesftuijv6/video/7490959889360112926,4,1,2,4/9/2025,@maesftuijv6,7490959889360112926
https://www.tiktok.com/@lucky.ley6/video/7490949190453955871,13,0,1,4/9/2025,@lucky.ley6,7490949190453955871
https://www.tiktok.com/@twi662/video/7490959820896603434,7,0,1,4/9/2025,@twi662,7490959820896603434
https://www.tiktok.com/@lucky.ley6/video/7490753000319798558,21,0,0,4/8/2025,@lucky.ley6,7490753000319798558
https://www.tiktok.com/@twi662/video/7490389804417600814,0,0,0,,@twi662,7490389804417600814
https://www.tiktok.com/@lucky.ley6/video/7490559864012279070,3,0,0,,@lucky.ley6,7490559864012279070
