selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.youtube.com//shorts/D4ZLnWQZbA0,147,0,14000,3/17/2025,@alpechahunter,D4ZLnWQZbA0
https://www.youtube.com//shorts/BWjq_VFeSsk,102,2,15000,3/17/2025,@haydeeprovazek,BWjq_VFeSsk
https://www.youtube.com//shorts/NQ_Lus3Bvrk,161,3,15000,3/17/2025,@baobo-k6h,NQ_Lus3Bvrk
https://www.youtube.com//shorts/u6h1_K_jZYw,92,0,8481,3/17/2025,@annunziata-y6u,u6h1_K_jZYw
https://www.youtube.com//shorts/Wr3iJb3nQ9A,9,0,488,3/16/2025,@emilie-s7q,Wr3iJb3nQ9A
https://www.youtube.com//shorts/bLqMg6T4EqQ,57,0,5409,3/15/2025,@alpechahunter,bLqMg6T4EqQ
https://www.youtube.com//shorts/Z-tuSWq23ok,98,5,13000,3/15/2025,@haydeeprovazek,Z-tuSWq23ok
https://www.youtube.com//shorts/1FmgEdM39Ko,82,0,16000,3/15/2025,@baobo-k6h,1FmgEdM39Ko
https://www.youtube.com//shorts/b1zR2QnZcuI,17,0,1379,3/15/2025,@annunziata-y6u,b1zR2QnZcuI
https://www.youtube.com//shorts/f-edXa4hD6E,6,0,980,3/15/2025,@barmanpsicologa,f-edXa4hD6E
https://www.youtube.com//shorts/uaj9Fbt-MOE,154,0,10000,3/13/2025,@emilie-s7q,uaj9Fbt-MOE
https://www.youtube.com//shorts/Vd_qRq1OANU,45,0,3732,3/13/2025,@alpechahunter,Vd_qRq1OANU
https://www.youtube.com//shorts/xnRMQjrc2xg,14,0,122,3/13/2025,@alpechahunter,xnRMQjrc2xg
https://www.youtube.com//shorts/vPhTbBRHocY,152,0,19000,3/13/2025,@haydeeprovazek,vPhTbBRHocY
https://www.youtube.com//shorts/ECtJFYLsSLE,121,0,15000,3/13/2025,@haydeeprovazek,ECtJFYLsSLE
https://www.youtube.com//shorts/IGe_UCWfi6A,105,0,16000,3/13/2025,@baobo-k6h,IGe_UCWfi6A
https://www.youtube.com//shorts/n_oBDK8hxVU,153,0,13000,3/13/2025,@baobo-k6h,n_oBDK8hxVU
https://www.youtube.com//shorts/rwWr1d3YdHQ,81,0,9840,3/13/2025,@annunziata-y6u,rwWr1d3YdHQ
https://www.youtube.com//shorts/9qF9YzoLliM,103,0,10000,3/13/2025,@annunziata-y6u,9qF9YzoLliM
https://www.youtube.com//shorts/ibjFPa8jFWs,49,0,10000,3/13/2025,@barmanpsicologa,ibjFPa8jFWs
https://www.youtube.com//shorts/pPFCIe_6BR0,91,1,15000,3/13/2025,@barmanpsicologa,pPFCIe_6BR0
https://www.youtube.com//shorts/GupuldQP9xY,178,0,15000,3/12/2025,@emilie-s7q,GupuldQP9xY
https://www.youtube.com//shorts/fsH_29P7XRg,1,0,2,3/11/2025,@emilie-s7q,fsH_29P7XRg
https://www.youtube.com//shorts/UZq2KfPzMG8,7,0,77,3/11/2025,@alpechahunter,UZq2KfPzMG8
https://www.youtube.com//shorts/i6eibPM__T0,7,0,271,3/11/2025,@haydeeprovazek,i6eibPM__T0
https://www.youtube.com//shorts/NInN1HIevlM,2,0,39,3/11/2025,@baobo-k6h,NInN1HIevlM
https://www.youtube.com//shorts/nwuqKfQ_Chs,4,0,68,3/11/2025,@annunziata-y6u,nwuqKfQ_Chs
https://www.youtube.com//shorts/VFkDBX3l7h4,2,0,286,3/11/2025,@barmanpsicologa,VFkDBX3l7h4
https://www.youtube.com//shorts/IEs9d4M2YfU,35,0,2957,3/11/2025,@emilie-s7q,IEs9d4M2YfU
https://www.youtube.com//shorts/JxJz1fVttUs,170,0,11000,3/11/2025,@alpechahunter,JxJz1fVttUs
https://www.youtube.com//shorts/yGY5zXl3KLA,125,1,15000,3/11/2025,@haydeeprovazek,yGY5zXl3KLA
https://www.youtube.com//shorts/wkoET5-I20U,86,0,15000,3/11/2025,@baobo-k6h,wkoET5-I20U
https://www.youtube.com//shorts/nHvEXCQcnd4,105,0,15000,3/11/2025,@annunziata-y6u,nHvEXCQcnd4
https://www.youtube.com//shorts/_WqvO6SXSzY,130,0,15000,3/11/2025,@barmanpsicologa,_WqvO6SXSzY
https://www.youtube.com//shorts/b5PoWrGa26g,6,1,2706,3/9/2025,@emilie-s7q,b5PoWrGa26g
https://www.youtube.com//shorts/MO7-jRp--E8,12,0,65,3/9/2025,@alpechahunter,MO7-jRp--E8
https://www.youtube.com//shorts/iBVngkHH9DU,12,0,452,3/8/2025,@alpechahunter,iBVngkHH9DU
https://www.youtube.com//shorts/k-jzRbRZWZg,135,0,15000,3/8/2025,@haydeeprovazek,k-jzRbRZWZg
https://www.youtube.com//shorts/vlhedwh2aGU,87,1,12000,3/8/2025,@baobo-k6h,vlhedwh2aGU
https://www.youtube.com//shorts/N9Dx6jUVNl8,6,0,445,3/8/2025,@annunziata-y6u,N9Dx6jUVNl8
https://www.youtube.com//shorts/mRQDv8BwFrE,15,0,599,3/8/2025,@barmanpsicologa,mRQDv8BwFrE
https://www.youtube.com//shorts/bPMtVUe5fZk,36,0,2898,3/6/2025,@emilie-s7q,bPMtVUe5fZk
https://www.youtube.com//shorts/KT4JjhYCm3k,302,2,15000,3/6/2025,@alpechahunter,KT4JjhYCm3k
https://www.youtube.com//shorts/yiPvCSePky4,257,0,17000,3/6/2025,@haydeeprovazek,yiPvCSePky4
https://www.youtube.com//shorts/kbBW3PHBN7s,103,0,16000,3/6/2025,@baobo-k6h,kbBW3PHBN7s
https://www.youtube.com//shorts/TynT16tjrW4,13,0,540,3/6/2025,@annunziata-y6u,TynT16tjrW4
https://www.youtube.com//shorts/inS62gF-y1E,11,0,436,3/6/2025,@barmanpsicologa,inS62gF-y1E
https://www.youtube.com//shorts/d2VBdszWJ6Y,63,0,5910,3/5/2025,@emilie-s7q,d2VBdszWJ6Y
https://www.youtube.com//shorts/G-0oNTxhdSo,160,0,15000,3/5/2025,@emilie-s7q,G-0oNTxhdSo
https://www.youtube.com//shorts/ADFgTd8_J5I,136,0,10000,3/5/2025,@alpechahunter,ADFgTd8_J5I
https://www.youtube.com//shorts/YVEa_S6nq_o,13,0,293,3/5/2025,@haydeeprovazek,YVEa_S6nq_o
https://www.youtube.com//shorts/Aw2NrDuOzxQ,173,1,15000,3/5/2025,@baobo-k6h,Aw2NrDuOzxQ
https://www.youtube.com//shorts/6j9aZJoi5dM,9,0,413,3/5/2025,@annunziata-y6u,6j9aZJoi5dM
https://www.youtube.com//shorts/5uV3sfa_hms,3,0,68,3/5/2025,@barmanpsicologa,5uV3sfa_hms
https://www.youtube.com//shorts/6JZFwRgsE3M,222,1,15000,3/4/2025,@alpechahunter,6JZFwRgsE3M
https://www.youtube.com//shorts/62N_mBhz4cA,284,1,15000,3/4/2025,@haydeeprovazek,62N_mBhz4cA
https://www.youtube.com//shorts/cVPrz5IV-Mc,104,0,12000,3/4/2025,@baobo-k6h,cVPrz5IV-Mc
https://www.youtube.com//shorts/Qwlhsan1QOM,3,1,513,3/4/2025,@annunziata-y6u,Qwlhsan1QOM
https://www.youtube.com//shorts/BMYf5D2ZHe8,131,4,15000,3/4/2025,@barmanpsicologa,BMYf5D2ZHe8
https://www.youtube.com//shorts/CrE136hWeIM,5,0,506,3/3/2025,@emilie-s7q,CrE136hWeIM
https://www.youtube.com//shorts/AabC3cDeT0s,280,0,17000,3/3/2025,@emilie-s7q,AabC3cDeT0s
https://www.youtube.com//shorts/b9ies2iMaOQ,301,0,15000,3/3/2025,@alpechahunter,b9ies2iMaOQ
https://www.youtube.com//shorts/J5CquJ97DZ8,40,0,5551,3/3/2025,@haydeeprovazek,J5CquJ97DZ8
https://www.youtube.com//shorts/rqd4yeafjds,6,0,527,3/3/2025,@baobo-k6h,rqd4yeafjds
https://www.youtube.com//shorts/QNY9vCQOTIM,43,0,5572,3/3/2025,@annunziata-y6u,QNY9vCQOTIM
https://www.youtube.com//shorts/5-jOhX_a3LE,167,0,15000,3/3/2025,@barmanpsicologa,5-jOhX_a3LE
https://www.youtube.com//shorts/2ckGgvkvWEo,355,1,16000,3/1/2025,@alpechahunter,2ckGgvkvWEo
https://www.youtube.com//shorts/uwLFViK3Veg,109,0,15000,3/1/2025,@haydeeprovazek,uwLFViK3Veg
https://www.youtube.com//shorts/NmdwxWO28q4,117,0,15000,3/1/2025,@baobo-k6h,NmdwxWO28q4
https://www.youtube.com//shorts/hpDj76FvH8c,105,0,13000,3/1/2025,@annunziata-y6u,hpDj76FvH8c
https://www.youtube.com//shorts/eJr9HuUDrFw,11,0,300,3/1/2025,@venicialolol,eJr9HuUDrFw
